forecast_date,predicted_price
2025-05-10,99780.91
2025-05-11,102943.516
2025-05-12,99793.766
2025-05-13,102937.04
2025-05-14,94195.96
2025-05-15,99792.84
2025-05-16,102921.92
2025-05-17,102941.305
2025-05-18,93594.445
2025-05-19,102943.516
2025-05-20,93585.97
2025-05-21,94161.49
2025-05-22,93594.445
2025-05-23,93613.8
2025-05-24,94179.74
2025-05-25,99774.414
2025-05-26,99821.61
2025-05-27,102902.57
2025-05-28,93626.67
2025-05-29,99801.32
2025-05-30,93626.67
2025-05-31,102906.85
2025-06-01,102921.92
2025-06-02,93607.32
2025-06-03,99760.63
2025-06-04,102937.04
2025-06-05,93585.97
2025-06-06,102893.99
2025-06-07,93585.97
2025-06-08,99760.63
